"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","061010506032","CA","061010506032","=""061010506032""","72.20","2019-2023","2022","Census","California (State)"
"Block Group","061010506033","CA","061010506033","=""061010506033""","86.97","2019-2023","2022","Census","California (State)"
"Block Group","061010506034","CA","061010506034","=""061010506034""","83.31","2019-2023","2022","Census","California (State)"
"Block Group","061010506041","CA","061010506041","=""061010506041""","94.26","2019-2023","2022","Census","California (State)"
"Block Group","061010506042","CA","061010506042","=""061010506042""","92.91","2019-2023","2022","Census","California (State)"
"Block Group","061010507011","CA","061010507011","=""061010507011""","86.10","2019-2023","2022","Census","California (State)"
"Block Group","061010507012","CA","061010507012","=""061010507012""","89.44","2019-2023","2022","Census","California (State)"
"Block Group","061010507021","CA","061010507021","=""061010507021""","80.21","2019-2023","2022","Census","California (State)"
"Block Group","061010507022","CA","061010507022","=""061010507022""","95.49","2019-2023","2022","Census","California (State)"
"Block Group","061010507023","CA","061010507023","=""061010507023""","90.53","2019-2023","2022","Census","California (State)"
"Block Group","061010507024","CA","061010507024","=""061010507024""","70.76","2019-2023","2022","Census","California (State)"
"Block Group","061010508001","CA","061010508001","=""061010508001""","95.34","2019-2023","2022","Census","California (State)"
"Block Group","061010508002","CA","061010508002","=""061010508002""","90.00","2019-2023","2022","Census","California (State)"
"Block Group","061010509001","CA","061010509001","=""061010509001""","85.35","2019-2023","2022","Census","California (State)"
"Block Group","061010509002","CA","061010509002","=""061010509002""","84.16","2019-2023","2022","Census","California (State)"
"Block Group","061010510001","CA","061010510001","=""061010510001""","94.02","2019-2023","2022","Census","California (State)"
"Block Group","061010510002","CA","061010510002","=""061010510002""","79.37","2019-2023","2022","Census","California (State)"
"Block Group","061010511001","CA","061010511001","=""061010511001""","73.17","2019-2023","2022","Census","California (State)"
"Block Group","061010511002","CA","061010511002","=""061010511002""","66.15","2019-2023","2022","Census","California (State)"
"Block Group","061010511003","CA","061010511003","=""061010511003""","83.82","2019-2023","2022","Census","California (State)"
"Block Group","061030001001","CA","061030001001","=""061030001001""","80.95","2019-2023","2022","Census","California (State)"
"Block Group","061030001002","CA","061030001002","=""061030001002""","78.48","2019-2023","2022","Census","California (State)"
"Block Group","061030001003","CA","061030001003","=""061030001003""","92.28","2019-2023","2022","Census","California (State)"
"Block Group","061030001004","CA","061030001004","=""061030001004""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","061030002011","CA","061030002011","=""061030002011""","94.48","2019-2023","2022","Census","California (State)"
"Block Group","061030002012","CA","061030002012","=""061030002012""","94.22","2019-2023","2022","Census","California (State)"
