"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Block Group","060930009012","CA","060930009012","=""060930009012""","10.80","2019-2023","2022","Census","California (State)"
"Block Group","060930009013","CA","060930009013","=""060930009013""","2756.12","2019-2023","2022","Census","California (State)"
"Block Group","060930009014","CA","060930009014","=""060930009014""","304.77","2019-2023","2022","Census","California (State)"
"Block Group","060930009015","CA","060930009015","=""060930009015""","330.29","2019-2023","2022","Census","California (State)"
"Block Group","060930009021","CA","060930009021","=""060930009021""","5.30","2019-2023","2022","Census","California (State)"
"Block Group","060930009022","CA","060930009022","=""060930009022""","726.53","2019-2023","2022","Census","California (State)"
"Block Group","060930009023","CA","060930009023","=""060930009023""","6.76","2019-2023","2022","Census","California (State)"
"Block Group","060930010011","CA","060930010011","=""060930010011""","25.81","2019-2023","2022","Census","California (State)"
"Block Group","060930010021","CA","060930010021","=""060930010021""","261.94","2019-2023","2022","Census","California (State)"
"Block Group","060930010031","CA","060930010031","=""060930010031""","1045.31","2019-2023","2022","Census","California (State)"
"Block Group","060930010032","CA","060930010032","=""060930010032""","1385.65","2019-2023","2022","Census","California (State)"
"Block Group","060930010033","CA","060930010033","=""060930010033""","1159.91","2019-2023","2022","Census","California (State)"
"Block Group","060930010034","CA","060930010034","=""060930010034""","8.78","2019-2023","2022","Census","California (State)"
"Block Group","060930011001","CA","060930011001","=""060930011001""","7.63","2019-2023","2022","Census","California (State)"
"Block Group","060930011002","CA","060930011002","=""060930011002""","312.11","2019-2023","2022","Census","California (State)"
"Block Group","060930011003","CA","060930011003","=""060930011003""","2328.13","2019-2023","2022","Census","California (State)"
"Block Group","060930012001","CA","060930012001","=""060930012001""","4.82","2019-2023","2022","Census","California (State)"
"Block Group","060930012002","CA","060930012002","=""060930012002""","0.55","2019-2023","2022","Census","California (State)"
"Block Group","060930013001","CA","060930013001","=""060930013001""","1.23","2019-2023","2022","Census","California (State)"
"Block Group","060930013002","CA","060930013002","=""060930013002""","118.40","2019-2023","2022","Census","California (State)"
"Block Group","060930013003","CA","060930013003","=""060930013003""","0.71","2019-2023","2022","Census","California (State)"
"Block Group","060930013004","CA","060930013004","=""060930013004""","4.12","2019-2023","2022","Census","California (State)"
"Block Group","060952501031","CA","060952501031","=""060952501031""","5948.37","2019-2023","2022","Census","California (State)"
"Block Group","060952501032","CA","060952501032","=""060952501032""","6277.52","2019-2023","2022","Census","California (State)"
"Block Group","060952501033","CA","060952501033","=""060952501033""","5671.35","2019-2023","2022","Census","California (State)"
"Block Group","060952501041","CA","060952501041","=""060952501041""","3810.79","2019-2023","2022","Census","California (State)"
"Block Group","060952501042","CA","060952501042","=""060952501042""","4877.92","2019-2023","2022","Census","California (State)"
"Block Group","060952501051","CA","060952501051","=""060952501051""","6089.04","2019-2023","2022","Census","California (State)"
"Block Group","060952501052","CA","060952501052","=""060952501052""","3930.11","2019-2023","2022","Census","California (State)"
"Block Group","060952501053","CA","060952501053","=""060952501053""","9159.62","2019-2023","2022","Census","California (State)"
"Block Group","060952501061","CA","060952501061","=""060952501061""","148.19","2019-2023","2022","Census","California (State)"
"Block Group","060952501062","CA","060952501062","=""060952501062""","3610.94","2019-2023","2022","Census","California (State)"
"Block Group","060952502001","CA","060952502001","=""060952502001""","9398.53","2019-2023","2022","Census","California (State)"
"Block Group","060952502002","CA","060952502002","=""060952502002""","6118.50","2019-2023","2022","Census","California (State)"
"Block Group","060952502003","CA","060952502003","=""060952502003""","9046.34","2019-2023","2022","Census","California (State)"
"Block Group","060952503001","CA","060952503001","=""060952503001""","4850.73","2019-2023","2022","Census","California (State)"
"Block Group","060952503002","CA","060952503002","=""060952503002""","10386.55","2019-2023","2022","Census","California (State)"
"Block Group","060952503003","CA","060952503003","=""060952503003""","12753.83","2019-2023","2022","Census","California (State)"
"Block Group","060952504001","CA","060952504001","=""060952504001""","10037.77","2019-2023","2022","Census","California (State)"
"Block Group","060952504002","CA","060952504002","=""060952504002""","5066.99","2019-2023","2022","Census","California (State)"
"Block Group","060952504003","CA","060952504003","=""060952504003""","13693.55","2019-2023","2022","Census","California (State)"
"Block Group","060952505011","CA","060952505011","=""060952505011""","8109.29","2019-2023","2022","Census","California (State)"
"Block Group","060952505012","CA","060952505012","=""060952505012""","4041.80","2019-2023","2022","Census","California (State)"
"Block Group","060952505021","CA","060952505021","=""060952505021""","5901.50","2019-2023","2022","Census","California (State)"
"Block Group","060952505022","CA","060952505022","=""060952505022""","3446.71","2019-2023","2022","Census","California (State)"
"Block Group","060952506011","CA","060952506011","=""060952506011""","4466.16","2019-2023","2022","Census","California (State)"
"Block Group","060952506012","CA","060952506012","=""060952506012""","4728.50","2019-2023","2022","Census","California (State)"
"Block Group","060952506013","CA","060952506013","=""060952506013""","9837.62","2019-2023","2022","Census","California (State)"
"Block Group","060952506041","CA","060952506041","=""060952506041""","8271.27","2019-2023","2022","Census","California (State)"
"Block Group","060952506042","CA","060952506042","=""060952506042""","3059.29","2019-2023","2022","Census","California (State)"
"Block Group","060952506043","CA","060952506043","=""060952506043""","3659.76","2019-2023","2022","Census","California (State)"
"Block Group","060952506051","CA","060952506051","=""060952506051""","3437.53","2019-2023","2022","Census","California (State)"
"Block Group","060952506052","CA","060952506052","=""060952506052""","4250.51","2019-2023","2022","Census","California (State)"
"Block Group","060952506053","CA","060952506053","=""060952506053""","2848.23","2019-2023","2022","Census","California (State)"
