"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Per Capita Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","apci","TimeFrame","GeoVintage","Source","Location"
"Block Group","060670081314","CA","060670081314","=""060670081314""","45440","2019-2023","2022","Census","California (State)"
"Block Group","060670081315","CA","060670081315","=""060670081315""","37818","2019-2023","2022","Census","California (State)"
"Block Group","060670081321","CA","060670081321","=""060670081321""","42282","2019-2023","2022","Census","California (State)"
"Block Group","060670081322","CA","060670081322","=""060670081322""","40645","2019-2023","2022","Census","California (State)"
"Block Group","060670081331","CA","060670081331","=""060670081331""","35136","2019-2023","2022","Census","California (State)"
"Block Group","060670081332","CA","060670081332","=""060670081332""","31859","2019-2023","2022","Census","California (State)"
"Block Group","060670081341","CA","060670081341","=""060670081341""","37509","2019-2023","2022","Census","California (State)"
"Block Group","060670081342","CA","060670081342","=""060670081342""","37233","2019-2023","2022","Census","California (State)"
"Block Group","060670081343","CA","060670081343","=""060670081343""","37279","2019-2023","2022","Census","California (State)"
"Block Group","060670081351","CA","060670081351","=""060670081351""","30901","2019-2023","2022","Census","California (State)"
"Block Group","060670081352","CA","060670081352","=""060670081352""","22997","2019-2023","2022","Census","California (State)"
"Block Group","060670081353","CA","060670081353","=""060670081353""","48932","2019-2023","2022","Census","California (State)"
"Block Group","060670081354","CA","060670081354","=""060670081354""","52836","2019-2023","2022","Census","California (State)"
"Block Group","060670081361","CA","060670081361","=""060670081361""","27622","2019-2023","2022","Census","California (State)"
"Block Group","060670081362","CA","060670081362","=""060670081362""","34229","2019-2023","2022","Census","California (State)"
"Block Group","060670081371","CA","060670081371","=""060670081371""","34415","2019-2023","2022","Census","California (State)"
"Block Group","060670081372","CA","060670081372","=""060670081372""","41819","2019-2023","2022","Census","California (State)"
"Block Group","060670081381","CA","060670081381","=""060670081381""","40684","2019-2023","2022","Census","California (State)"
"Block Group","060670081382","CA","060670081382","=""060670081382""","24898","2019-2023","2022","Census","California (State)"
"Block Group","060670081383","CA","060670081383","=""060670081383""","39612","2019-2023","2022","Census","California (State)"
"Block Group","060670081391","CA","060670081391","=""060670081391""","41972","2019-2023","2022","Census","California (State)"
"Block Group","060670081392","CA","060670081392","=""060670081392""","40937","2019-2023","2022","Census","California (State)"
"Block Group","060670081393","CA","060670081393","=""060670081393""","26001","2019-2023","2022","Census","California (State)"
"Block Group","060670081401","CA","060670081401","=""060670081401""","41345","2019-2023","2022","Census","California (State)"
"Block Group","060670081402","CA","060670081402","=""060670081402""","45140","2019-2023","2022","Census","California (State)"
"Block Group","060670081411","CA","060670081411","=""060670081411""","35488","2019-2023","2022","Census","California (State)"
"Block Group","060670081412","CA","060670081412","=""060670081412""","30116","2019-2023","2022","Census","California (State)"
"Block Group","060670081413","CA","060670081413","=""060670081413""","38391","2019-2023","2022","Census","California (State)"
"Block Group","060670081414","CA","060670081414","=""060670081414""","19864","2019-2023","2022","Census","California (State)"
"Block Group","060670081415","CA","060670081415","=""060670081415""","27757","2019-2023","2022","Census","California (State)"
"Block Group","060670081421","CA","060670081421","=""060670081421""","37584","2019-2023","2022","Census","California (State)"
"Block Group","060670081422","CA","060670081422","=""060670081422""","45898","2019-2023","2022","Census","California (State)"
"Block Group","060670081431","CA","060670081431","=""060670081431""","34504","2019-2023","2022","Census","California (State)"
"Block Group","060670081432","CA","060670081432","=""060670081432""","45843","2019-2023","2022","Census","California (State)"
"Block Group","060670081441","CA","060670081441","=""060670081441""","31039","2019-2023","2022","Census","California (State)"
"Block Group","060670081442","CA","060670081442","=""060670081442""","46146","2019-2023","2022","Census","California (State)"
"Block Group","060670081451","CA","060670081451","=""060670081451""","43632","2019-2023","2022","Census","California (State)"
"Block Group","060670081452","CA","060670081452","=""060670081452""","53139","2019-2023","2022","Census","California (State)"
"Block Group","060670081453","CA","060670081453","=""060670081453""","36159","2019-2023","2022","Census","California (State)"
"Block Group","060670081454","CA","060670081454","=""060670081454""","40137","2019-2023","2022","Census","California (State)"
"Block Group","060670081455","CA","060670081455","=""060670081455""","45065","2019-2023","2022","Census","California (State)"
"Block Group","060670081456","CA","060670081456","=""060670081456""","41563","2019-2023","2022","Census","California (State)"
"Block Group","060670082031","CA","060670082031","=""060670082031""","45756","2019-2023","2022","Census","California (State)"
"Block Group","060670082032","CA","060670082032","=""060670082032""","32145","2019-2023","2022","Census","California (State)"
"Block Group","060670082033","CA","060670082033","=""060670082033""","51527","2019-2023","2022","Census","California (State)"
"Block Group","060670082041","CA","060670082041","=""060670082041""","42949","2019-2023","2022","Census","California (State)"
"Block Group","060670082042","CA","060670082042","=""060670082042""","50229","2019-2023","2022","Census","California (State)"
"Block Group","060670082061","CA","060670082061","=""060670082061""","27567","2019-2023","2022","Census","California (State)"
"Block Group","060670082062","CA","060670082062","=""060670082062""","49865","2019-2023","2022","Census","California (State)"
