"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","National Walkability Index","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","natwalkind","TimeFrame","GeoVintage","Source","Location"
"Block Group","060014038003","CA","060014038003","=""060014038003""","18.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014038004","CA","060014038004","=""060014038004""","17.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014039001","CA","060014039001","=""060014039001""","15.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014039002","CA","060014039002","=""060014039002""","17.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014039003","CA","060014039003","=""060014039003""","15.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014040001","CA","060014040001","=""060014040001""","13.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014040002","CA","060014040002","=""060014040002""","13.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014041011","CA","060014041011","=""060014041011""","17.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014041012","CA","060014041012","=""060014041012""","17.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014041021","CA","060014041021","=""060014041021""","14.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014041022","CA","060014041022","=""060014041022""","17.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014042001","CA","060014042001","=""060014042001""","15.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014042002","CA","060014042002","=""060014042002""","15.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014042003","CA","060014042003","=""060014042003""","12.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014043001","CA","060014043001","=""060014043001""","11.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014043002","CA","060014043002","=""060014043002""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014043003","CA","060014043003","=""060014043003""","14.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014044001","CA","060014044001","=""060014044001""","9.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014044002","CA","060014044002","=""060014044002""","12.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014044003","CA","060014044003","=""060014044003""","5.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014045011","CA","060014045011","=""060014045011""","10.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014045021","CA","060014045021","=""060014045021""","12.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014045022","CA","060014045022","=""060014045022""","11.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014045023","CA","060014045023","=""060014045023""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014045024","CA","060014045024","=""060014045024""","17.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014046001","CA","060014046001","=""060014046001""","10.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014046002","CA","060014046002","=""060014046002""","6.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014046003","CA","060014046003","=""060014046003""","6.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014046004","CA","060014046004","=""060014046004""","8.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014047001","CA","060014047001","=""060014047001""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014047002","CA","060014047002","=""060014047002""","12.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014048001","CA","060014048001","=""060014048001""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014048002","CA","060014048002","=""060014048002""","13.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014049001","CA","060014049001","=""060014049001""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014049002","CA","060014049002","=""060014049002""","17.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014049003","CA","060014049003","=""060014049003""","15.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014049004","CA","060014049004","=""060014049004""","15.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014050001","CA","060014050001","=""060014050001""","13.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014050002","CA","060014050002","=""060014050002""","14.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014050003","CA","060014050003","=""060014050003""","16.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014051001","CA","060014051001","=""060014051001""","14.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014051002","CA","060014051002","=""060014051002""","15.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014051003","CA","060014051003","=""060014051003""","14.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014051004","CA","060014051004","=""060014051004""","13.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014051005","CA","060014051005","=""060014051005""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014052001","CA","060014052001","=""060014052001""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014052002","CA","060014052002","=""060014052002""","16.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014052003","CA","060014052003","=""060014052003""","15.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014052004","CA","060014052004","=""060014052004""","15.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014053011","CA","060014053011","=""060014053011""","12.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014053012","CA","060014053012","=""060014053012""","16.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014053021","CA","060014053021","=""060014053021""","17.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014053022","CA","060014053022","=""060014053022""","16.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014054011","CA","060014054011","=""060014054011""","13.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014054012","CA","060014054012","=""060014054012""","14.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014054013","CA","060014054013","=""060014054013""","15.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014054021","CA","060014054021","=""060014054021""","15.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014054022","CA","060014054022","=""060014054022""","15.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014055001","CA","060014055001","=""060014055001""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014055002","CA","060014055002","=""060014055002""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014055003","CA","060014055003","=""060014055003""","15.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014055004","CA","060014055004","=""060014055004""","15.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014056001","CA","060014056001","=""060014056001""","13.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014056002","CA","060014056002","=""060014056002""","14.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014056003","CA","060014056003","=""060014056003""","13.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014057001","CA","060014057001","=""060014057001""","14.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014057002","CA","060014057002","=""060014057002""","15.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014057003","CA","060014057003","=""060014057003""","13.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014058001","CA","060014058001","=""060014058001""","13.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014058002","CA","060014058002","=""060014058002""","11.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014058003","CA","060014058003","=""060014058003""","13.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014058004","CA","060014058004","=""060014058004""","14.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014059011","CA","060014059011","=""060014059011""","15.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014059012","CA","060014059012","=""060014059012""","15.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014059013","CA","060014059013","=""060014059013""","17.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014059021","CA","060014059021","=""060014059021""","14.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014059022","CA","060014059022","=""060014059022""","18.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014060001","CA","060014060001","=""060014060001""","16.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014060002","CA","060014060002","=""060014060002""","16.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014060003","CA","060014060003","=""060014060003""","19.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014061001","CA","060014061001","=""060014061001""","19.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014061002","CA","060014061002","=""060014061002""","15.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014061003","CA","060014061003","=""060014061003""","16.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014061004","CA","060014061004","=""060014061004""","17.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014062011","CA","060014062011","=""060014062011""","13.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014062012","CA","060014062012","=""060014062012""","13.83","2021","2010","EPA Smart Location Database","California (State)"
