"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within 45 Minutes Auto Travel Time","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5ar","TimeFrame","GeoVintage","Source","Location"
"Block Group","060590630042","CA","060590630042","=""060590630042""","193314","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630043","CA","060590630043","=""060590630043""","187160","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630044","CA","060590630044","=""060590630044""","235041","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630051","CA","060590630051","=""060590630051""","144989","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630052","CA","060590630052","=""060590630052""","163374","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630061","CA","060590630061","=""060590630061""","151816","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630062","CA","060590630062","=""060590630062""","158927","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630071","CA","060590630071","=""060590630071""","184679","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630072","CA","060590630072","=""060590630072""","222046","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630073","CA","060590630073","=""060590630073""","263135","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630074","CA","060590630074","=""060590630074""","244535","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630081","CA","060590630081","=""060590630081""","160931","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630091","CA","060590630091","=""060590630091""","141598","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630101","CA","060590630101","=""060590630101""","210905","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630102","CA","060590630102","=""060590630102""","197297","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630103","CA","060590630103","=""060590630103""","173239","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590630104","CA","060590630104","=""060590630104""","214797","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631011","CA","060590631011","=""060590631011""","295042","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631012","CA","060590631012","=""060590631012""","281596","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631021","CA","060590631021","=""060590631021""","302468","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631022","CA","060590631022","=""060590631022""","317704","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631023","CA","060590631023","=""060590631023""","294959","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631024","CA","060590631024","=""060590631024""","292422","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631031","CA","060590631031","=""060590631031""","257663","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631032","CA","060590631032","=""060590631032""","231227","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632011","CA","060590632011","=""060590632011""","287990","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632012","CA","060590632012","=""060590632012""","294626","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632013","CA","060590632013","=""060590632013""","282593","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632021","CA","060590632021","=""060590632021""","286070","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632022","CA","060590632022","=""060590632022""","279856","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632023","CA","060590632023","=""060590632023""","241173","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632024","CA","060590632024","=""060590632024""","258176","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633011","CA","060590633011","=""060590633011""","269718","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633012","CA","060590633012","=""060590633012""","252876","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633013","CA","060590633013","=""060590633013""","235416","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633021","CA","060590633021","=""060590633021""","250189","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633022","CA","060590633022","=""060590633022""","209557","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633023","CA","060590633023","=""060590633023""","218225","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633024","CA","060590633024","=""060590633024""","224665","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590634001","CA","060590634001","=""060590634001""","198349","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590634002","CA","060590634002","=""060590634002""","203854","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590634003","CA","060590634003","=""060590634003""","193035","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590634004","CA","060590634004","=""060590634004""","201848","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590634005","CA","060590634005","=""060590634005""","178355","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590635001","CA","060590635001","=""060590635001""","170542","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590635002","CA","060590635002","=""060590635002""","160371","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590635003","CA","060590635003","=""060590635003""","168710","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590635004","CA","060590635004","=""060590635004""","166121","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590635005","CA","060590635005","=""060590635005""","163059","2021","2010","EPA Smart Location Database","California (State)"
