"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","040190046453","AZ","040190046453","=""040190046453""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046461","AZ","040190046461","=""040190046461""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046462","AZ","040190046462","=""040190046462""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046471","AZ","040190046471","=""040190046471""","545.84","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046472","AZ","040190046472","=""040190046472""","832.84","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190046473","AZ","040190046473","=""040190046473""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047101","AZ","040190047101","=""040190047101""","540.47","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047102","AZ","040190047102","=""040190047102""","1087.65","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047103","AZ","040190047103","=""040190047103""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047111","AZ","040190047111","=""040190047111""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047112","AZ","040190047112","=""040190047112""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047113","AZ","040190047113","=""040190047113""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047121","AZ","040190047121","=""040190047121""","692.02","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047122","AZ","040190047122","=""040190047122""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047123","AZ","040190047123","=""040190047123""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047131","AZ","040190047131","=""040190047131""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047132","AZ","040190047132","=""040190047132""","1023.27","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047133","AZ","040190047133","=""040190047133""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047141","AZ","040190047141","=""040190047141""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047142","AZ","040190047142","=""040190047142""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047143","AZ","040190047143","=""040190047143""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047144","AZ","040190047144","=""040190047144""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047145","AZ","040190047145","=""040190047145""","561.93","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047151","AZ","040190047151","=""040190047151""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047152","AZ","040190047152","=""040190047152""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047153","AZ","040190047153","=""040190047153""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047161","AZ","040190047161","=""040190047161""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047162","AZ","040190047162","=""040190047162""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047171","AZ","040190047171","=""040190047171""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047172","AZ","040190047172","=""040190047172""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047181","AZ","040190047181","=""040190047181""","934.76","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047182","AZ","040190047182","=""040190047182""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047191","AZ","040190047191","=""040190047191""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
