"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","040136130002","AZ","040136130002","=""040136130002""","64.56","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136130003","AZ","040136130003","=""040136130003""","68.81","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136131001","AZ","040136131001","=""040136131001""","57.14","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136131002","AZ","040136131002","=""040136131002""","71.43","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136131003","AZ","040136131003","=""040136131003""","53.85","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136132001","AZ","040136132001","=""040136132001""","82.91","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136132002","AZ","040136132002","=""040136132002""","68.40","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136132003","AZ","040136132003","=""040136132003""","54.72","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136133001","AZ","040136133001","=""040136133001""","56.34","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136133002","AZ","040136133002","=""040136133002""","89.77","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136133003","AZ","040136133003","=""040136133003""","74.18","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136133004","AZ","040136133004","=""040136133004""","77.34","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136133005","AZ","040136133005","=""040136133005""","65.15","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136134001","AZ","040136134001","=""040136134001""","73.18","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136134002","AZ","040136134002","=""040136134002""","79.95","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136135001","AZ","040136135001","=""040136135001""","79.36","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136135002","AZ","040136135002","=""040136135002""","71.63","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136135003","AZ","040136135003","=""040136135003""","90.49","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136136011","AZ","040136136011","=""040136136011""","72.62","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136136012","AZ","040136136012","=""040136136012""","68.11","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136136013","AZ","040136136013","=""040136136013""","92.77","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136136021","AZ","040136136021","=""040136136021""","68.80","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136136022","AZ","040136136022","=""040136136022""","75.40","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136137001","AZ","040136137001","=""040136137001""","77.78","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136137002","AZ","040136137002","=""040136137002""","74.32","2019-2023","2022","Census","Arizona (State)"
