"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within a 45-Minute Transit Commute","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5br","TimeFrame","GeoVintage","Source","Location"
"Block Group","040050020002","AZ","040050020002","=""040050020002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021001","AZ","040050021001","=""040050021001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021002","AZ","040050021002","=""040050021002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021003","AZ","040050021003","=""040050021003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021004","AZ","040050021004","=""040050021004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021005","AZ","040050021005","=""040050021005""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021006","AZ","040050021006","=""040050021006""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021007","AZ","040050021007","=""040050021007""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022001","AZ","040050022001","=""040050022001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022002","AZ","040050022002","=""040050022002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022003","AZ","040050022003","=""040050022003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022004","AZ","040050022004","=""040050022004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050022005","AZ","040050022005","=""040050022005""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050023001","AZ","040050023001","=""040050023001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050023002","AZ","040050023002","=""040050023002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
