"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within 45 Minutes Auto Travel Time","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5ar","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019703001","AZ","040019703001","=""040019703001""","627","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019703002","AZ","040019703002","=""040019703002""","668","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019703003","AZ","040019703003","=""040019703003""","663","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705011","AZ","040019705011","=""040019705011""","749","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705012","AZ","040019705012","=""040019705012""","671","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705013","AZ","040019705013","=""040019705013""","799","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705014","AZ","040019705014","=""040019705014""","458","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705021","AZ","040019705021","=""040019705021""","861","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705022","AZ","040019705022","=""040019705022""","468","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705023","AZ","040019705023","=""040019705023""","46","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030001001","AZ","040030001001","=""040030001001""","202","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030001002","AZ","040030001002","=""040030001002""","98","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002011","AZ","040030002011","=""040030002011""","229","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002012","AZ","040030002012","=""040030002012""","480","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002021","AZ","040030002021","=""040030002021""","701","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002022","AZ","040030002022","=""040030002022""","630","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002023","AZ","040030002023","=""040030002023""","759","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002024","AZ","040030002024","=""040030002024""","616","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002031","AZ","040030002031","=""040030002031""","462","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002032","AZ","040030002032","=""040030002032""","79","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002033","AZ","040030002033","=""040030002033""","142","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003011","AZ","040030003011","=""040030003011""","1321","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003012","AZ","040030003012","=""040030003012""","1575","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003013","AZ","040030003013","=""040030003013""","1738","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003014","AZ","040030003014","=""040030003014""","1470","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003021","AZ","040030003021","=""040030003021""","410","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003022","AZ","040030003022","=""040030003022""","411","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003023","AZ","040030003023","=""040030003023""","929","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003024","AZ","040030003024","=""040030003024""","1632","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003031","AZ","040030003031","=""040030003031""","173","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003032","AZ","040030003032","=""040030003032""","2487","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003033","AZ","040030003033","=""040030003033""","1194","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030004001","AZ","040030004001","=""040030004001""","489","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030004002","AZ","040030004002","=""040030004002""","1027","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005001","AZ","040030005001","=""040030005001""","85","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005002","AZ","040030005002","=""040030005002""","569","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005003","AZ","040030005003","=""040030005003""","461","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005004","AZ","040030005004","=""040030005004""","525","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030006001","AZ","040030006001","=""040030006001""","1838","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030006002","AZ","040030006002","=""040030006002""","1267","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007001","AZ","040030007001","=""040030007001""","1078","2021","2010","EPA Smart Location Database","Arizona (State)"
