"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Pedestrian-oriented Road Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d3apo","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019702003","AZ","040019702003","=""040019702003""","4.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019703001","AZ","040019703001","=""040019703001""","0.36","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019703002","AZ","040019703002","=""040019703002""","15.56","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019703003","AZ","040019703003","=""040019703003""","5.89","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705011","AZ","040019705011","=""040019705011""","7.14","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705012","AZ","040019705012","=""040019705012""","14.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705013","AZ","040019705013","=""040019705013""","6.21","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705014","AZ","040019705014","=""040019705014""","9.01","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705021","AZ","040019705021","=""040019705021""","1.57","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705022","AZ","040019705022","=""040019705022""","1.07","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705023","AZ","040019705023","=""040019705023""","0.27","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030001001","AZ","040030001001","=""040030001001""","0.07","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030001002","AZ","040030001002","=""040030001002""","0.12","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002011","AZ","040030002011","=""040030002011""","0.07","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002012","AZ","040030002012","=""040030002012""","0.06","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002021","AZ","040030002021","=""040030002021""","13.91","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002022","AZ","040030002022","=""040030002022""","24.82","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002023","AZ","040030002023","=""040030002023""","0.66","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002024","AZ","040030002024","=""040030002024""","0.58","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002031","AZ","040030002031","=""040030002031""","0.07","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002032","AZ","040030002032","=""040030002032""","0.28","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002033","AZ","040030002033","=""040030002033""","0.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003011","AZ","040030003011","=""040030003011""","11.14","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003012","AZ","040030003012","=""040030003012""","3.14","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003013","AZ","040030003013","=""040030003013""","10.30","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003014","AZ","040030003014","=""040030003014""","4.48","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003021","AZ","040030003021","=""040030003021""","0.42","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003022","AZ","040030003022","=""040030003022""","0.28","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003023","AZ","040030003023","=""040030003023""","1.41","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003024","AZ","040030003024","=""040030003024""","0.41","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003031","AZ","040030003031","=""040030003031""","0.02","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003032","AZ","040030003032","=""040030003032""","5.15","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003033","AZ","040030003033","=""040030003033""","0.36","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030004001","AZ","040030004001","=""040030004001""","0.09","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030004002","AZ","040030004002","=""040030004002""","2.96","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005001","AZ","040030005001","=""040030005001""","0.05","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005002","AZ","040030005002","=""040030005002""","0.36","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005003","AZ","040030005003","=""040030005003""","0.06","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030005004","AZ","040030005004","=""040030005004""","0.07","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030006001","AZ","040030006001","=""040030006001""","0.09","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030006002","AZ","040030006002","=""040030006002""","11.69","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007001","AZ","040030007001","=""040030007001""","5.31","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007002","AZ","040030007002","=""040030007002""","0.25","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007003","AZ","040030007003","=""040030007003""","22.47","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007004","AZ","040030007004","=""040030007004""","6.92","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008001","AZ","040030008001","=""040030008001""","2.32","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008002","AZ","040030008002","=""040030008002""","20.25","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008003","AZ","040030008003","=""040030008003""","17.72","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008004","AZ","040030008004","=""040030008004""","17.75","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009011","AZ","040030009011","=""040030009011""","27.07","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009012","AZ","040030009012","=""040030009012""","23.12","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009013","AZ","040030009013","=""040030009013""","21.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009014","AZ","040030009014","=""040030009014""","21.25","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009021","AZ","040030009021","=""040030009021""","12.28","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009022","AZ","040030009022","=""040030009022""","28.03","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009023","AZ","040030009023","=""040030009023""","24.74","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030010001","AZ","040030010001","=""040030010001""","0.04","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030010002","AZ","040030010002","=""040030010002""","1.25","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011001","AZ","040030011001","=""040030011001""","3.76","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011002","AZ","040030011002","=""040030011002""","0.42","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011003","AZ","040030011003","=""040030011003""","3.86","2021","2010","EPA Smart Location Database","Arizona (State)"
