"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Pct. of People Walking to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranw","TimeFrame","GeoVintage","Source","Location"
"Block Group","040210002012","AZ","040210002012","=""040210002012""","11.96","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002041","AZ","040210002041","=""040210002041""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002042","AZ","040210002042","=""040210002042""","1.43","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002043","AZ","040210002043","=""040210002043""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002044","AZ","040210002044","=""040210002044""","3.25","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002061","AZ","040210002061","=""040210002061""","3.48","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002062","AZ","040210002062","=""040210002062""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002063","AZ","040210002063","=""040210002063""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002081","AZ","040210002081","=""040210002081""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002082","AZ","040210002082","=""040210002082""","6.94","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002111","AZ","040210002111","=""040210002111""","0.79","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002112","AZ","040210002112","=""040210002112""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002113","AZ","040210002113","=""040210002113""","4.74","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002121","AZ","040210002121","=""040210002121""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002122","AZ","040210002122","=""040210002122""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002123","AZ","040210002123","=""040210002123""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002151","AZ","040210002151","=""040210002151""","0.89","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002161","AZ","040210002161","=""040210002161""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002162","AZ","040210002162","=""040210002162""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002171","AZ","040210002171","=""040210002171""","1.81","2019-2023","2022","Census","Arizona (State)"
