"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Road Network Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d3a","TimeFrame","GeoVintage","Source","Location"
"Block Group","040030008001","AZ","040030008001","=""040030008001""","5.61","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008002","AZ","040030008002","=""040030008002""","20.57","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008003","AZ","040030008003","=""040030008003""","18.77","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008004","AZ","040030008004","=""040030008004""","20.29","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009011","AZ","040030009011","=""040030009011""","27.51","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009012","AZ","040030009012","=""040030009012""","23.12","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009013","AZ","040030009013","=""040030009013""","22.41","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009014","AZ","040030009014","=""040030009014""","21.25","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009021","AZ","040030009021","=""040030009021""","14.31","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009022","AZ","040030009022","=""040030009022""","28.04","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009023","AZ","040030009023","=""040030009023""","25.14","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030010001","AZ","040030010001","=""040030010001""","0.39","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030010002","AZ","040030010002","=""040030010002""","2.41","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011001","AZ","040030011001","=""040030011001""","4.74","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011002","AZ","040030011002","=""040030011002""","1.30","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011003","AZ","040030011003","=""040030011003""","6.27","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012001","AZ","040030012001","=""040030012001""","1.05","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012002","AZ","040030012002","=""040030012002""","8.02","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012003","AZ","040030012003","=""040030012003""","1.48","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013001","AZ","040030013001","=""040030013001""","4.56","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013002","AZ","040030013002","=""040030013002""","10.08","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013003","AZ","040030013003","=""040030013003""","1.28","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013004","AZ","040030013004","=""040030013004""","1.21","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013005","AZ","040030013005","=""040030013005""","1.01","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014011","AZ","040030014011","=""040030014011""","9.66","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014012","AZ","040030014012","=""040030014012""","10.31","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014013","AZ","040030014013","=""040030014013""","0.25","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014021","AZ","040030014021","=""040030014021""","1.54","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014022","AZ","040030014022","=""040030014022""","0.02","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014023","AZ","040030014023","=""040030014023""","0.78","2021","2010","EPA Smart Location Database","Arizona (State)"
