"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","National Walkability Index","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","natwalkind","TimeFrame","GeoVintage","Source","Location"
"Block Group","040030016013","AZ","040030016013","=""040030016013""","9.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016021","AZ","040030016021","=""040030016021""","8.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016022","AZ","040030016022","=""040030016022""","10.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016023","AZ","040030016023","=""040030016023""","7.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016024","AZ","040030016024","=""040030016024""","7.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017011","AZ","040030017011","=""040030017011""","9.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017012","AZ","040030017012","=""040030017012""","7.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017013","AZ","040030017013","=""040030017013""","6.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017014","AZ","040030017014","=""040030017014""","5.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017021","AZ","040030017021","=""040030017021""","6.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017022","AZ","040030017022","=""040030017022""","9.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017031","AZ","040030017031","=""040030017031""","5.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017032","AZ","040030017032","=""040030017032""","11.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018001","AZ","040030018001","=""040030018001""","6.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018002","AZ","040030018002","=""040030018002""","6.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018003","AZ","040030018003","=""040030018003""","8.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018004","AZ","040030018004","=""040030018004""","5.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019001","AZ","040030019001","=""040030019001""","6.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019002","AZ","040030019002","=""040030019002""","7.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019003","AZ","040030019003","=""040030019003""","5.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019004","AZ","040030019004","=""040030019004""","5.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020011","AZ","040030020011","=""040030020011""","4.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020012","AZ","040030020012","=""040030020012""","8.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020013","AZ","040030020013","=""040030020013""","4.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020021","AZ","040030020021","=""040030020021""","4.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020022","AZ","040030020022","=""040030020022""","3.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020023","AZ","040030020023","=""040030020023""","2.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021001","AZ","040030021001","=""040030021001""","4.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021002","AZ","040030021002","=""040030021002""","3.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021003","AZ","040030021003","=""040030021003""","3.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001001","AZ","040050001001","=""040050001001""","11.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001002","AZ","040050001002","=""040050001002""","10.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001003","AZ","040050001003","=""040050001003""","7.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050002001","AZ","040050002001","=""040050002001""","7.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050002002","AZ","040050002002","=""040050002002""","10.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003001","AZ","040050003001","=""040050003001""","12.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003002","AZ","040050003002","=""040050003002""","16.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003003","AZ","040050003003","=""040050003003""","18.33","2021","2010","EPA Smart Location Database","Arizona (State)"
